Date,Team Name,Description,TEAM/PLAYER,PART OF REPORT,Player Type
2025-12-02,Elmhurst,"LH 3 level scorer Straight line drives, prefers LHD. Loves to curl off screens & finish",Dominic Trelenberg,Player Notes,Driver/Slasher
2025-12-02,Elmhurst,Shooter (22 of 34 FGA from 3) Hunts Pick & Pop or Ghost screen 3's,Aidyn Boone,Player Notes,Spot-Up Shooter
2025-12-02,Elmhurst,"3 level scorer (Shoots, drives, & posts) RH but prefers LHD Rebounds very hard",Vinnie Adjahoungbeta,Player Notes,Post Scorer
2025-12-02,Elmhurst,Shoot 1st Role player/ball mover,Talen Pearson,Player Notes,Unclassified
2025-12-02,Elmhurst,Shooter Pull ups on drives,Jack Cherry,Player Notes,"Driver/Shooter, Mid-Range Specialist"
2025-12-02,Elmhurst,Driver/shooter Prefers RHD,EJ Marshall,Player Notes,Driver/Shooter
2025-12-02,Elmhurst,Shooter,Jeffrey Williams,Player Notes,Spot-Up Shooter
2025-12-02,Elmhurst,No Rhythm C & S 3's Force tough finishes (over you),Luke Smith,Keys to Defending,
2025-12-02,Elmhurst,Close out = Driver First Contest without fouling STAY DOWN on Fakes!!,Sebastian Blachut,Keys to Defending,
2025-12-02,Elmhurst,Anticipate quick 1st step (LHD) Be physical & fight over screens Box Out!!,Dominic Trelenberg,Keys to Defending,
2025-12-02,Elmhurst,Expect pops after screens on & off ball No C & S 3's!! Box Out,Aidyn Boone,Keys to Defending,
2025-12-02,Elmhurst,"No C & S 3's Anticipate LHD BOX OUT!!! 3 of 5 5-1, (0-0)Elmhurst Bluejays UW-Whitewater vs. Elmhurst | December 2nd 2025 5-1, (0-0)",Vinnie Adjahoungbeta,Keys to Defending,
2025-12-02,Elmhurst,High hand on closeout Be a Helper!!,Talen Pearson,Keys to Defending,
2025-12-02,Elmhurst,No C & S 3's Pressure!!,Jack Cherry,Keys to Defending,
2025-12-02,Elmhurst,Anticipate RHD Presure!!,EJ Marshall,Keys to Defending,
2025-12-02,Elmhurst,"No C & S 3's!! 4 of 5 5-1, (0-0)Elmhurst Bluejays UW-Whitewater vs. Elmhurst | December 2nd 2025 5-1, (0-0) 2024-25",Jeffrey Williams,Keys to Defending,
2025-11-15,Eureka,-,Team,Team Strengths,
2025-11-15,Eureka,SG Averaging 28ppg,Team,Team Strengths,
2025-11-15,Eureka,Will Be their 4th Game,Team,Team Strengths,
2025-11-15,Eureka,All 5 Will Shoot,Team,Team Strengths,
2025-11-15,Eureka,EARLY GAP / HELP SIDE,Team,Keys to Victory,
2025-11-15,Eureka,KEEP THE BALL IN FRONT (ACTIVE HANDS),Team,Keys to Victory,
2025-11-15,Eureka,OWN THE PAINT,Team,Keys to Victory,
2025-11-15,Eureka,"Off Guard Looking to Attack (18 FGA, 8 FTA) Coming Back to RIGHT HAND - Lt - Rt Cross, Spin Move",Jaxson Provost,Player Notes,Unclassified
2025-11-15,Eureka,PG - Similar Style to #3 from Ripon Not as strong w/ the ball Shooter,Micah Bruer,Player Notes,Spot-Up Shooter
2025-11-15,Eureka,Rebounding / Defending Wing Will Catch and Shoot,Ben Carter,Player Notes,Unclassified
2025-11-15,Eureka,Shooter! Stretch 4 - Will Pick and Pop Runs Off Pinch Post A Lot,Jonah Lauff,Player Notes,"Post Scorer, Spot-Up Shooter"
2025-11-15,Eureka,Perimeter Big Will Drive and Shoot Offensive Rebounder,Andrew Coker,Player Notes,Driver/Slasher
2025-11-15,Eureka,Back Up Wing Aggressive w/ the Ball,Damuzha Moore,Player Notes,Unclassified
2025-11-15,Eureka,Back Up PG Facilitator,Jacob Gonzalez,Player Notes,Unclassified
2025-11-15,Eureka,Keep in Front w/ Contest Make Him Finish OVER You - STAY DOWN Early Gap/Help Side Step Up!,Jaxson Provost,Keys to Defending,
2025-11-15,Eureka,Pressure and Speed Up Contest Pull Ups No Fouls on Jump Shots!,Micah Bruer,Keys to Defending,
2025-11-15,Eureka,Active Hands on Perimeter Keep Off Glass Help Off and Recover,Ben Carter,Keys to Defending,
2025-11-15,Eureka,No C&S 3's Talk Switches! Anticipate Rt Hand Drive,Jonah Lauff,Keys to Defending,
2025-11-15,Eureka,"Keep in Front w/ Contest Keep Off Glass 3 of 5 1-3, (0-0)Eureka Red Devils UW-Whitewater vs. Eureka | November 15th 2025 2-1, (0-0)",Andrew Coker,Keys to Defending,
2025-11-15,Eureka,Keep in Front w/ Contest,Damuzha Moore,Keys to Defending,
2025-11-15,Eureka,"Be a Helper Get off into gaps 4 of 5 1-3, (0-0)Eureka Red Devils UW-Whitewater vs. Eureka | November 15th 2025 2-1, (0-0) 2025-26",Jacob Gonzalez,Keys to Defending,
2025-12-10,Lawrence,High level 3 pt shooting (,Team,Team Strengths,
2025-12-10,Lawrence,2% 3 pt),Team,Team Strengths,
2025-12-10,Lawrence,Pack & Protect the paint on Defense,Team,Team Strengths,
2025-12-10,Lawrence,Rebound Hard (+6 Rebound advantage),Team,Team Strengths,
2025-12-10,Lawrence,DRIVE DOWN 3PT ATTEMPTS!!!,Team,Keys to Victory,
2025-12-10,Lawrence,FINISH DEFENSIVE POSSESSIONS (LATE CLOCK),Team,Keys to Victory,
2025-12-10,Lawrence,ATTACK THE PAINT,Team,Keys to Victory,
2025-12-10,Lawrence,Shooter (C & S 3's) TO prone on drives Struggles to finish over wall ups,Nathan Valentine,Player Notes,Driver/Shooter
2025-12-10,Lawrence,Shooter with DEEP range (esp. Late in clock) Shoots off dribble and C & S,Hogan Demovsky,Player Notes,Spot-Up Shooter
2025-12-10,Lawrence,Shooter/Driver Heavy RHD/RH Finisher,Nicholas Gouriotis,Player Notes,Driver/Shooter
2025-12-10,Lawrence,Shooter/Driver Will attack either way (loves going baseline) Rebounds hard,CJ Campbell,Player Notes,"Driver/Shooter, Rebounder"
2025-12-10,Lawrence,Attacks from perimeter & scores in post 1-2 dribbles & spins back on drives (80% of drives) Rebounds really hard,Casey Schoenecker,Player Notes,Post Scorer
2025-12-10,Lawrence,Shooter Struggles to finish over wall ups,Nicolas Manzanera,Player Notes,Spot-Up Shooter
2025-12-10,Lawrence,LS/RH in Post (Non-shooter) Crashes hard,Nolan Koch,Player Notes,Post Scorer
2025-12-10,Lawrence,Driver (either way) Back cuts!!,Landon Key,Player Notes,Driver/Slasher
2025-12-10,Lawrence,Driver (either way) Seeks contact on finishes,Caleb Nash,Player Notes,Post Scorer
2025-12-10,Lawrence,No C & S 3's Wall up & force him to finish OVER us,Nathan Valentine,Keys to Defending,
2025-12-10,Lawrence,No C & S 3's Locate & squeeze late in clock,Hogan Demovsky,Keys to Defending,
2025-12-10,Lawrence,No C & S 3's Anticipate RHD,Nicholas Gouriotis,Keys to Defending,
2025-12-10,Lawrence,No Rhythm 3's No baseline drives Box out!!!,CJ Campbell,Keys to Defending,
2025-12-10,Lawrence,"Anticipate LS/RH Finishes Be a Helper!! Box Out!!! 3 of 5 6-2, (1-1)Lawrence Vikings UW-Whitewater vs. Lawrence | December 10th 2025 6-1, (0-0) SOMETHING WENT WRONG WITH THIS TILE",Casey Schoenecker,Keys to Defending,
2025-12-10,Lawrence,No C & S 3's Wall up on finishes,Nicolas Manzanera,Keys to Defending,
2025-12-10,Lawrence,NLS/RH Box out!!! Be a Helper!!,Nolan Koch,Keys to Defending,
2025-12-10,Lawrence,Be a helper!! No back cuts!!!,Landon Key,Keys to Defending,
2025-12-10,Lawrence,"Be a Helper!! Stay down & wall up 4 of 5 6-2, (1-1)Lawrence Vikings UW-Whitewater vs. Lawrence | December 10th 2025 6-1, (0-0) 2025-26",Caleb Nash,Keys to Defending,
2025-11-07,Ripon,Motion offense with good ball movement & cutting,Team,Team Strengths,
2025-11-07,Ripon,Force TO's with active hands (Gaps!),Team,Team Strengths,
2025-11-07,Ripon,Heavy ball screen usage at multiple angles,Team,Team Strengths,
2025-11-07,Ripon,DOMINATE THE GLASS,Team,Keys to Victory,
2025-11-07,Ripon,ATTACK THE BASKET,Team,Keys to Victory,
2025-11-07,Ripon,COMMUNICATION SCREENING ACTION!!!,Team,Keys to Victory,
2025-11-07,Ripon,Shooter! Seeks contact on drives and jump shots Pump fakes & jab steps before he drives,Seth Bunders,Player Notes,"Driver/Shooter, Playmaker"
2025-11-07,Ripon,Go To=mid range pull up (1-2 dribbles) C & S 3's Prefers LH on drives,CJ Brown,Player Notes,"Driver/Shooter, Mid-Range Specialist"
2025-11-07,Ripon,Driver/Shooter RHD=gets to rim. LHD= Pull up jumper Rebounds hard,Marshawn Robinson,Player Notes,"Driver/Shooter, Mid-Range Specialist, Rebounder"
2025-11-07,Ripon,C&S 3's Quick Release LS/RH in post,Michael Asman,Player Notes,"Post Scorer, Spot-Up Shooter"
2025-11-07,Ripon,Rebounds Hard! Power post game. Finishes through his defender. LS/RH in post. RH on drives.,Kolby Williams,Player Notes,"Post Scorer, Rebounder"
2025-11-07,Ripon,Shooter/Driver C&S 3's Prefers RH drive (always finishes RH),Jarton Davis,Player Notes,Post Scorer
2025-11-07,Ripon,C&S 3's Struggles with ball pressure,Jake Thomsen,Player Notes,Spot-Up Shooter
2025-11-07,Ripon,NO C&S 3's!!! Do NOT foul on jump shots Stay down v. shot fakes,Seth Bunders,Keys to Defending,
2025-11-07,Ripon,Anticipate 1 dribble pull up Anticipate LHD Stay down on shot fakes,CJ Brown,Keys to Defending,
2025-11-07,Ripon,Anticipate pull up when he goes left Keep him in front Box out!!,Marshawn Robinson,Keys to Defending,
2025-11-07,Ripon,No C&S 3s!! (stunt v. pick & pop) NLS in post Box Out!!,Michael Asman,Keys to Defending,
2025-11-07,Ripon,"Boxout!!! NLS finishes Be Physical & Stay Down 3 of 5 0-2, (0-0)Ripon Red Hawks UW-Whitewater vs. Ripon | November 7th 2025 1-0, (0-0) SOMETHING WENT WRONG WITH THIS TILE",Kolby Williams,Keys to Defending,
2025-11-07,Ripon,Limit C&S 3's Anticipate RHD,Jarton Davis,Keys to Defending,
2025-11-07,Ripon,"No C&S 3's Pressure & Disrupt 4 of 5 0-2, (0-0)Ripon Red Hawks UW-Whitewater vs. Ripon | November 7th 2025 1-0, (0-0) 2024-25",Jake Thomsen,Keys to Defending,
2025-11-25,Simpson,2 playmaking guards (#23 & #13),Team,Team Strengths,
2025-11-25,Simpson,Motion offense with good ball movement/movement off ball,Team,Team Strengths,
2025-11-25,Simpson,Multiple guys that crash the glass hard,Team,Team Strengths,
2025-11-25,Simpson,TAKE AWAY PERSONNEL TENDANCIES,Team,Keys to Victory,
2025-11-25,Simpson,LIVE IN THE PAINT!!!,Team,Keys to Victory,
2025-11-25,Simpson,DOMINATE THE GLASS,Team,Keys to Victory,
2025-11-25,Simpson,LH Driver/shooter Heavy LH finisher Go to=Step back,Cam Henderson,Player Notes,Driver/Shooter
2025-11-25,Simpson,Efficient 3 level scorer Prefers RHD Jabs & pump fakes,Levi Gurwell,Player Notes,Playmaker
2025-11-25,Simpson,RHD Jabs & attacks opposite,Spencer Holley,Player Notes,Unclassified
2025-11-25,Simpson,Shooter/Driver Prefers RHD,Brogan Fuller,Player Notes,Driver/Shooter
2025-11-25,Simpson,LS/RH Post Scores in post and O-Boards Non-shooter,Marcus Haupert,Player Notes,"Post Scorer, Rebounder"
2025-11-25,Simpson,LH Shooter Rebounds hard! Will shoot anytime hand is down,Bo Huston,Player Notes,"Spot-Up Shooter, Rebounder"
2025-11-25,Simpson,"Will post, drive, & shoot Plays the 4 or 5 LS/RH",Jachin Mertes,Player Notes,Post Scorer
2025-11-25,Simpson,RH but prefers to attack L Loves step back going to his left,Isaac Averill,Player Notes,Unclassified
2025-11-25,Simpson,Anticipate LHD No spin backs on RHD Early gap help (especially v LHD),Cam Henderson,Keys to Defending,
2025-11-25,Simpson,Stay down on Pump fakes Anticipate RHD,Levi Gurwell,Keys to Defending,
2025-11-25,Simpson,Antcipate RHD Anticipate Jab & attack opposite,Spencer Holley,Keys to Defending,
2025-11-25,Simpson,No C&S 3's Antipipate RHD,Brogan Fuller,Keys to Defending,
2025-11-25,Simpson,"No LS/RH Boxout!!! Low/wide base in post (hold your ground) 3 of 5 2-6, (0-0)Simpson Storm UW-Whitewater vs. Simpson | November 25th 2025 4-1, (0-0) SOMETHING WENT WRONG WITH THIS TILE",Marcus Haupert,Keys to Defending,
2025-11-25,Simpson,High/Early hand on closeout! Pressure & Trace Boxout!,Bo Huston,Keys to Defending,
2025-11-25,Simpson,Antcipate RHD No LS/RH,Jachin Mertes,Keys to Defending,
2025-11-25,Simpson,"Antcipate step back on LHD 4 of 5 2-6, (0-0)Simpson Storm UW-Whitewater vs. Simpson | November 25th 2025 4-1, (0-0) 2025-26",Isaac Averill,Keys to Defending,
2025-11-14,Stthomas,Extremely active hands defensively,Team,Team Strengths,
2025-11-14,Stthomas,Multiple guys that can create & get to rim,Team,Team Strengths,
2025-11-14,Stthomas,Crash the glass hard,Team,Team Strengths,
2025-11-14,Stthomas,BALL SECURITY,Team,Keys to Victory,
2025-11-14,Stthomas,LIMIT THEIR SCORING @ THE RIM/IN THE PAINT,Team,Keys to Victory,
2025-11-14,Stthomas,BULLY THEM ON THE GLASS,Team,Keys to Victory,
2025-11-14,Stthomas,"PG, looking to create most touches Driver/shooter (loves drive to post) Very active hands defensively=steals",Angel Johnson,Player Notes,Post Scorer
2025-11-14,Stthomas,LH Shooter/Driver (Main shooting threat) Prefers LH drive Aggressive getting to rim in transition,Corey Thompson,Player Notes,Driver/Shooter
2025-11-14,Stthomas,RH Driver/slasher Loves to spin back when cut off on drives Back cuts when defender loses vision,Nathan Kongolo,Player Notes,Driver/Slasher
2025-11-14,Stthomas,Scores from dump offs on drives & O-Boards LH Non-shooter,Nicholas Buffalo,Player Notes,"Post Scorer, Rebounder"
2025-11-14,Stthomas,"Driver/slasher Will drive either way, always finishes RH. Go to= Floater 5-12 feet",Charles Gitonga,Player Notes,Post Scorer
2025-11-14,Stthomas,Scores in post and from Offensive Boards Prefers LS in post but can go RS. Capable 3 pt shooter,Garret Rodgers,Player Notes,"Post Scorer, Spot-Up Shooter"
2025-11-14,Stthomas,"Driver 1st forward Prefers RHD, heavy RH finish Rebounds Hard",Reyce Allen,Player Notes,"Driver/Slasher, Rebounder"
2025-11-14,Stthomas,LH Shooter Mid range pull ups on drives,Brennan Webb,Player Notes,"Driver/Shooter, Mid-Range Specialist"
2025-11-14,Stthomas,Quick play making guard. Shooter/Driver Loves to jab before drives,Omar Gayle,Player Notes,"Driver/Shooter, Playmaker"
2025-11-14,Stthomas,Anticipate drive after closeout EARLY GAP HELP Keep in Front & Contest,Angel Johnson,Keys to Defending,
2025-11-14,Stthomas,Anticipate LHD & finish attempts No C&S 3's!!,Corey Thompson,Keys to Defending,
2025-11-14,Stthomas,Anticipate RHD Anticipate spin back on LHDs Keep vision off ball (no back cuts),Nathan Kongolo,Keys to Defending,
2025-11-14,Stthomas,Box out!!! Help the helper on drives = Wedge him Out Be a Helper when he's on perimeter,Nicholas Buffalo,Keys to Defending,
2025-11-14,Stthomas,"Anticipate RHD & finish attempts BE A HELPER when he's on perimeter. 3 of 5 2-0, (0-0)St. Thomas (TX) Celts UW-Whitewater vs. St. Thomas (TX) | November 14th 2025 1-0, (0-0) SOMETHING WENT WRONG WITH THIS TILE",Charles Gitonga,Keys to Defending,
2025-11-14,Stthomas,Box Out!!! NLS in post Strong closeout on perimeter,Garret Rodgers,Keys to Defending,
2025-11-14,Stthomas,Anticipate RHD & finish attempt Box Out!!!,Reyce Allen,Keys to Defending,
2025-11-14,Stthomas,Locate in transition CHASE v. screens off the ball High Hand - Arrive on the Catch,Brennan Webb,Keys to Defending,
2025-11-14,Stthomas,"Anticipate quick 1st step Anticipate jab & attack opposite 4 of 5 2-0, (0-0)St. Thomas (TX) Celts UW-Whitewater vs. St. Thomas (TX) | November 14th 2025 1-0, (0-0) 2025-2026",Omar Gayle,Keys to Defending,
