Date,Team Name,Description,TEAM/PLAYER,PART OF REPORT,Player Type
2025-11-19,Aurora,Play making guards looking to attack the rim,Team,Team Strengths,
2025-11-19,Aurora,Great at drawing fouls/getting to FT line,Team,Team Strengths,
2025-11-19,Aurora,Press capable of turning teams over,Team,Team Strengths,
2025-11-19,Aurora,GUARD YOUR YARD (+ Early Gap Help),Team,Keys to Victory,
2025-11-19,Aurora,"WALL UP, DON'T FOUL",Team,Keys to Victory,
2025-11-19,Aurora,ATTACK THE PAINT!!!,Team,Keys to Victory,
2025-11-19,Aurora,Heavy RHD Pull up jumpers when he goes LH. L to R crossover before drives.,Mekhi Doby,Player Notes,"Driver/Slasher, Mid-Range Specialist"
2025-11-19,Aurora,Driver/shooter Prefers RHD Seeks contact on drives/finishes,Zerrick Johnson,Player Notes,Post Scorer
2025-11-19,Aurora,Driver First Capable of finishing with either hand Crashes HARD!,Jeffery Hillmer,Player Notes,Driver/Slasher
2025-11-19,Aurora,Shooter/Driver Main 3 pt threat Seeks contact when he shoots,Juan Madrigal,Player Notes,Driver/Shooter
2025-11-19,Aurora,"Prefers LS/RH, capable with RS/LH Non-shooter Crashes boards hard",Devon Richardson,Player Notes,Unclassified
2025-11-19,Aurora,RHD/Shooter (PG) Really aggressive getting to rim Main scoring threat off the bench,Gevon Grant,Player Notes,Spot-Up Shooter
2025-11-19,Aurora,Back up 5 man Prefers LS/RH inside,Larry Carthan,Player Notes,Unclassified
2025-11-19,Aurora,Capable shooter & driver Will attack either way buy finishes LH,Robert Hutson,Player Notes,Post Scorer
2025-11-19,Aurora,PG Facilitator Looks for pull ups/mid range when going left,Bryden Gryzmala,Player Notes,Mid-Range Specialist
2025-11-19,Aurora,Anticipate Crossover + RHD Wall up on finishes/no fouls!,Mekhi Doby,Keys to Defending,
2025-11-19,Aurora,No fouls! Anticipate RHD,Zerrick Johnson,Keys to Defending,
2025-11-19,Aurora,Box Out!!! Anticipate the drive on perimeter catch Heavy help off the ball,Jeffery Hillmer,Keys to Defending,
2025-11-19,Aurora,High Early hand on closeouts! Stay down/don't foul,Juan Madrigal,Keys to Defending,
2025-11-19,Aurora,"Box out!!! Extend Catches & Limit post touches Be a Helper!! 3 of 5 2-3, (0-1)Aurora Spartans UW-Whitewater vs. Aurora | November 19th 2025 3-1, (0-0) SOMETHING WENT WRONG WITH THIS TILE",Devon Richardson,Keys to Defending,
2025-11-19,Aurora,Stop initial push in transition Anticipate quick 1st step Early Gap Help,Gevon Grant,Keys to Defending,
2025-11-19,Aurora,NLS Be a Helper!! Box Out,Larry Carthan,Keys to Defending,
2025-11-19,Aurora,Anticipate LHD,Robert Hutson,Keys to Defending,
2025-11-19,Aurora,"Anticipate pull ups on LHD Stay down on pump fakes 4 of 5 2-3, (0-1)Aurora Spartans UW-Whitewater vs. Aurora | November 19th 2025 3-1, (0-0) 2025-26",Bryden Gryzmala,Keys to Defending,
2025-12-02,Elmhurst,High level 3 pt shooting team (38% 3 pt),Team,Team Strengths,
2025-12-02,Elmhurst,All starters with perimeter skills & shooting ability,Team,Team Strengths,
2025-12-02,Elmhurst,Physical & Aggressive on ball defensively,Team,Team Strengths,
2025-12-02,Elmhurst,COMMUNICATE SCREENS & ACTIONS,Team,Keys to Victory,
2025-12-02,Elmhurst,DOMINATE THE PAINT,Team,Keys to Victory,
2025-12-02,Elmhurst,GUARD 1 ON 1,Team,Keys to Victory,
2025-12-02,Elmhurst,Primary PG Shooter/Driver C & S 3's,Luke Smith,Player Notes,Driver/Shooter
2025-12-02,Elmhurst,Driver/Shooter Seeking contact Drives both ways but finishes RH,Sebastian Blachut,Player Notes,Post Scorer
